DATE,p_saving_rate,target,mortgage_rate,IPI_Cement,PPI_Cement,permit,PPI_Concrete,population,new_private_house,emratio,income,new_private_hw_under,GDP,home_ow_rate,house_st,total_emp_cons,labor_percent,all_Const_Emp,monthly_supply,unemployed_rate,MSPUS
2003-01-01,5.3,127.652,5.916,145.7576,151.0,1808.0,5.020585624949424,289412.0,6902.565955272815,62.5,9290.1,1049.0,11174.129,68.1,1853.0,6704.0,66.4,817.8,4.0,5.8,186000.0
2003-02-01,5.2,128.326,5.8425,130.6707,151.1,1854.0,5.0330488889331555,289606.0,7075.9015273460645,62.5,9296.2,1044.0,11174.129,68.1,1629.0,6667.0,66.4,817.7,4.5,5.9,186000.0
2003-03-01,4.9,129.308,5.745,139.9231,151.1,1757.0,5.04148775757902,289809.0,6821.2653424087575,62.4,9333.8,1044.0,11174.129,68.1,1726.0,6654.0,66.3,821.1,4.1,5.9,186000.0
2003-04-01,5.0,130.488,5.8125,143.4302,150.7,1803.0,5.046002437933547,290024.0,6943.281100912066,62.4,9356.4,1043.0,11312.766,68.2,1643.0,6689.0,66.4,828.9,4.1,6.0,191800.0
2003-05-01,5.3,131.839,5.484,143.716,151.1,1835.0,5.046002437933547,290250.0,7306.49447343561,62.3,9414.4,1047.0,11312.766,68.2,1751.0,6706.0,66.4,829.0,3.9,6.1,191800.0
2003-06-01,5.1,133.225,5.23,146.5043,151.2,1875.0,5.046002437933547,290484.0,6836.49599318465,62.3,9455.3,1064.0,11312.766,68.2,1867.0,6723.0,66.5,836.9,3.5,6.3,191800.0
2003-07-01,5.9,134.64700000000002,5.6325,151.803,151.0,1885.0,5.046002437933547,290726.0,7035.047186950998,62.1,9491.6,1078.0,11566.669,68.3,1897.0,6735.0,66.2,836.7,3.6,6.2,191900.0
2003-08-01,5.7,135.966,6.264,152.498,150.6,1966.0,5.046002437933547,290974.0,6477.695277508811,62.1,9538.8,1102.0,11566.669,68.3,1833.0,6760.0,66.1,840.2,3.5,6.1,191900.0
2003-09-01,4.9,137.076,6.1475,154.9852,150.2,1961.0,5.046002437933547,291222.0,7234.612033969584,62.0,9582.5,1121.0,11566.669,68.3,1939.0,6783.0,66.1,850.2,3.8,6.1,191900.0
2003-10-01,5.0,137.975,5.952,162.1132,149.6,2012.0,5.046002437933547,291463.0,7280.807496728636,62.1,9620.4,1135.0,11772.234,68.5,1967.0,6784.0,66.1,854.6,3.8,6.0,198800.0
2003-11-01,5.0,138.765,5.9325,156.7902,149.5,1918.0,5.046002437933547,291677.0,7096.344641765588,62.3,9688.2,1158.0,11772.234,68.5,2083.0,6796.0,66.1,858.5,4.1,5.8,198800.0
2003-12-01,5.0,139.627,5.876,160.271,149.4,1987.0,5.046002437933547,291868.0,7219.225318043752,62.2,9713.2,1183.0,11772.234,68.5,2057.0,6827.0,65.9,863.3,4.0,5.7,198800.0
2004-01-01,4.6,140.705,5.7125,152.7907,149.4,1952.0,5.046002437933547,292046.0,7183.345936136514,62.3,9731.8,1191.0,11923.447,68.7,1911.0,6848.0,66.1,866.4,3.8,5.7,212700.0
2004-02-01,4.6,142.029,5.635,149.9506,149.5,1966.0,5.046002437933547,292230.0,7229.4824736909695,62.3,9765.4,1197.0,11923.447,68.7,1846.0,6838.0,66.0,867.3,3.7,5.6,212700.0
2004-03-01,4.5,144.08,5.445,169.2419,150.2,2066.0,5.046002437933547,292434.0,7621.174103405521,62.2,9815.8,1219.0,11923.447,68.7,1998.0,6887.0,66.0,875.7,3.6,5.8,212700.0
2004-04-01,4.9,146.18,5.83,170.912,152.1,2070.0,5.053694783556702,292651.0,8373.261967576724,62.3,9865.8,1222.0,12112.815,69.4,2003.0,6901.0,65.9,876.2,4.0,5.6,217600.0
2004-05-01,4.8,148.335,6.27,166.8739,153.6,2150.0,5.053694783556702,292872.0,8136.871732814719,62.3,9950.0,1233.0,12112.815,69.4,1981.0,6948.0,66.0,890.8,3.8,5.6,217600.0
