S_no,Movies_Name,Director_Name,Duration,Year,Rating,Meta_score,Overview
1,The Shawshank Redemption,Frank Darabont,142 min,1994,9.3,80,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,Francis Ford Coppola,175 min,1972,9.2,100,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
3,The Dark Knight,Christopher Nolan,152 min,2008,9,84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,The Godfather: Part II,Francis Ford Coppola,202 min,1974,9,90,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,12 Angry Men,Sidney Lumet,96 min,1957,9,96,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,The Lord of the Rings: The Return of the King,Peter Jackson,201 min,2003,8.9,94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,Pulp Fiction,Quentin Tarantino,154 min,1994,8.9,94,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Schindler's List,Steven Spielberg,195 min,1993,8.9,94,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
9,Inception,Christopher Nolan,148 min,2010,8.8,74,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
10,Fight Club,David Fincher,139 min,1999,8.8,66,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
11,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178 min,2001,8.8,92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Forrest Gump,Robert Zemeckis,142 min,1994,8.8,82,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
13,"Il buono, il brutto, il cattivo",Sergio Leone,161 min,1966,8.8,90,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
14,The Lord of the Rings: The Two Towers,Peter Jackson,179 min,2002,8.7,87,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
15,The Matrix,Lana Wachowski,136 min,1999,8.7,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
16,Goodfellas,Martin Scorsese,146 min,1990,8.7,90,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
17,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,124 min,1980,8.7,82,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
18,One Flew Over the Cuckoo's Nest,Milos Forman,133 min,1975,8.7,83,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
19,Hamilton,Thomas Kail,160 min,2020,8.6,90,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
20,Gisaengchung,Bong Joon Ho,132 min,2019,8.6,96,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
21,Soorarai Pottru,Sudha Kongara,153 min,2020,8.6,,Nedumaaran Rajangam "Maara" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.
22,Interstellar,Christopher Nolan,169 min,2014,8.6,74,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
23,Cidade de Deus,Fernando Meirelles,130 min,2002,8.6,79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
24,Sen to Chihiro no kamikakushi,Hayao Miyazaki,125 min,2001,8.6,96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
25,Saving Private Ryan,Steven Spielberg,169 min,1998,8.6,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
26,The Green Mile,Frank Darabont,189 min,1999,8.6,61,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
27,La vita è bella,Roberto Benigni,116 min,1997,8.6,59,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
28,Se7en,David Fincher,127 min,1995,8.6,65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
29,The Silence of the Lambs,Jonathan Demme,118 min,1991,8.6,85,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
30,Star Wars,George Lucas,121 min,1977,8.6,90,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
31,Seppuku,Masaki Kobayashi,133 min,1962,8.6,85,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
32,Shichinin no samurai,Akira Kurosawa,207 min,1954,8.6,98,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
33,It's a Wonderful Life,Frank Capra,130 min,1946,8.6,89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Joker,Todd Phillips,122 min,2019,8.5,59,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
35,Whiplash,Damien Chazelle,106 min,2014,8.5,88,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
36,The Intouchables,Olivier Nakache,112 min,2011,8.5,57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
37,The Prestige,Christopher Nolan,130 min,2006,8.5,66,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
38,The Departed,Martin Scorsese,151 min,2006,8.5,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
39,The Pianist,Roman Polanski,150 min,2002,8.5,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
40,Gladiator,Ridley Scott,155 min,2000,8.5,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
41,American History X,Tony Kaye,119 min,1998,8.5,62,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
42,The Usual Suspects,Bryan Singer,106 min,1995,8.5,77,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
43,Léon,Luc Besson,110 min,1994,8.5,64,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
44,The Lion King,Roger Allers,88 min,1994,8.5,88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
45,Terminator 2: Judgment Day,James Cameron,137 min,1991,8.5,75,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
46,Nuovo Cinema Paradiso,Giuseppe Tornatore,155 min,1988,8.5,80,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
47,Hotaru no haka,Isao Takahata,89 min,1988,8.5,94,A young boy and his little sister struggle to survive in Japan during World War II.
48,Back to the Future,Robert Zemeckis,116 min,1985,8.5,87,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
49,Once Upon a Time in the West,Sergio Leone,165 min,1968,8.5,80,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
50,Psycho,Alfred Hitchcock,109 min,1960,8.5,97,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
51,Casablanca,Michael Curtiz,102 min,1942,8.5,100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
52,Modern Times,Charles Chaplin,87 min,1936,8.5,96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
53,City Lights,Charles Chaplin,87 min,1931,8.5,99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
54,Capharnaüm,Nadine Labaki,126 min,2018,8.4,75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
55,Ayla: The Daughter of War,Can Ulkay,125 min,2017,8.4,,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
56,Vikram Vedha,Gayatri,147 min,2017,8.4,,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
57,Kimi no na wa.,Makoto Shinkai,106 min,2016,8.4,79,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
58,Dangal,Nitesh Tiwari,161 min,2016,8.4,,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
59,Spider-Man: Into the Spider-Verse,Bob Persichetti,117 min,2018,8.4,87,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
60,Avengers: Endgame,Anthony Russo,181 min,2019,8.4,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
61,Avengers: Infinity War,Anthony Russo,149 min,2018,8.4,68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
62,Coco,Lee Unkrich,105 min,2017,8.4,81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
63,Django Unchained,Quentin Tarantino,165 min,2012,8.4,81,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
64,The Dark Knight Rises,Christopher Nolan,164 min,2012,8.4,78,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
