S_no,Movies_Name,Star1,Star2,Star3,Star4,No_of_Votes,Genre,Gross,Certificate
1,The Shawshank Redemption,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,Drama,"2,83,41,469",A
2,The Godfather,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,"Crime, Drama","13,49,66,411",A
3,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,"Action, Crime, Drama","53,48,58,444",UA
4,The Godfather: Part II,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,"Crime, Drama","5,73,00,000",A
5,12 Angry Men,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,"Crime, Drama","43,60,000",U
6,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,"Action, Adventure, Drama","37,78,45,905",U
7,Pulp Fiction,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,"Crime, Drama","10,79,28,762",A
8,Schindler's List,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,"Biography, Drama, History","9,68,98,818",A
9,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,"Action, Adventure, Sci-Fi","29,25,76,195",UA
10,Fight Club,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,Drama,"3,70,30,102",A
11,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,"Action, Adventure, Drama","31,55,44,750",U
12,Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,"Drama, Romance","33,02,52,182",UA
13,"Il buono, il brutto, il cattivo",Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390,Western,"61,00,000",A
14,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,"Action, Adventure, Drama","34,25,51,365",UA
15,The Matrix,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,"Action, Sci-Fi","17,14,79,930",A
16,Goodfellas,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,"Biography, Crime, Drama","4,68,36,394",A
17,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,"Action, Adventure, Fantasy","29,04,75,067",UA
18,One Flew Over the Cuckoo's Nest,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,Drama,"11,20,00,000",A
19,Hamilton,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,55291,"Biography, Drama, History",,PG-13
20,Gisaengchung,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,"Comedy, Drama, Thriller","5,33,67,844",A
21,Soorarai Pottru,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,54995,Drama,,U
22,Interstellar,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,"Adventure, Drama, Sci-Fi","18,80,20,017",UA
23,Cidade de Deus,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,"Crime, Drama","75,63,397",A
24,Sen to Chihiro no kamikakushi,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,"Animation, Adventure, Family","1,00,55,859",U
25,Saving Private Ryan,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,"Drama, War","21,65,40,909",R
26,The Green Mile,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,"Crime, Drama, Fantasy","13,68,01,374",A
27,La vita è bella,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,"Comedy, Drama, Romance","5,75,98,247",U
28,Se7en,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096,"Crime, Drama, Mystery","10,01,25,643",A
29,The Silence of the Lambs,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,"Crime, Drama, Thriller","13,07,42,922",A
30,Star Wars,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473,"Action, Adventure, Fantasy","32,27,40,140",UA
31,Seppuku,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,42004,"Action, Drama, Mystery",,
32,Shichinin no samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744,"Action, Adventure, Drama","2,69,061",U
